Index,Playlist Title,Video Title,Video URL,Duration
1,Uploads from Applied Science,"Acoustic Radiometer spins in 130dB sound, clockwise and counter-clockwise depending on sound pattern",https://www.youtube.com/watch?v=lAeJvZfVLbE,16:05
2,Uploads from Applied Science,Optical diffraction patterns and almost-holograms made with a MOPA laser engraving machine,https://www.youtube.com/watch?v=RsGHr7dXLuI,22:17
3,Uploads from Applied Science,X-ray backscatter with compressed sensing algorithm,https://www.youtube.com/watch?v=EuVgGrun1V0,20:27
4,Uploads from Applied Science,Iron nitride permanent magnets made with DIY ball mill and tested with DIY magnetometer,https://www.youtube.com/watch?v=M6XIgdS1rzs,24:26
5,Uploads from Applied Science,Dramatically improve microscope resolution with an LED array and Fourier Ptychography,https://www.youtube.com/watch?v=9KJLWwbs_cQ,22:25
6,Uploads from Applied Science,f/0.38 camera lens made with oil immersion microscope objective,https://www.youtube.com/watch?v=DQv0nlGsW-s,16:25
7,Uploads from Applied Science,Mutarotation: a sugar that spontaneously changes from sweet to bitter,https://www.youtube.com/watch?v=kiuXasyB3L0,15:37
8,Uploads from Applied Science,Micronics SLS nylon 3D printer makes electronic circuits,https://www.youtube.com/watch?v=UIqhpxul_og,19:08
9,Uploads from Applied Science,Photosynthesis photography: Making images with living plant leaves,https://www.youtube.com/watch?v=-qETedzsFIE,21:41
10,Uploads from Applied Science,Measuring the amount of lead (Pb) consumed when drinking from lead crystal glassware. Is it safe?,https://www.youtube.com/watch?v=-cAB5FG4bXI,37:32
11,Uploads from Applied Science,Identify chemicals with radio frequencies - Nuclear Quadrupole Resonance (MRI without magnets),https://www.youtube.com/watch?v=JO_EHceV9sk,37:03
12,Uploads from Applied Science,How to make precise sheet metal parts (photochemical machining),https://www.youtube.com/watch?v=bR9EN3kUlfg,21:56
13,Uploads from Applied Science,Drawing on a plasma display with a laser pointer,https://www.youtube.com/watch?v=Oj4tRnLKN6U,20:13
14,Uploads from Applied Science,Silver nanoprisms grown into structural colors by high power LEDs,https://www.youtube.com/watch?v=v8pko9IlFW4,26:36
15,Uploads from Applied Science,Olestra (zero calorie cooking oil) - chemical synthesis and taste test,https://www.youtube.com/watch?v=3d8b_ohlcdk,18:31
16,Uploads from Applied Science,"X-ray timelapse of fluid movement in plants, stop-motion animation, sensor teardown/repair",https://www.youtube.com/watch?v=j-FHbHoiwNk,21:28
17,Uploads from Applied Science,Underwater laser cutting and silver sintering to make ceramic circuit boards,https://www.youtube.com/watch?v=kxXEI0Ce6C0,23:16
18,Uploads from Applied Science,"Atomic Layer Deposition of copper - If you like sputtering, you'll love this!",https://www.youtube.com/watch?v=ih_D6OLzqo4,27:01
19,Uploads from Applied Science,The best projects from 10 years of Applied Science,https://www.youtube.com/watch?v=rLkVFjRyoDU,17:28
20,Uploads from Applied Science,Measuring human digestive efficiency vs. a flame,https://www.youtube.com/watch?v=9wZ0wTqJIxY,32:32
21,Electrical Engineering Basics,"Electrical Current Explained - AC DC, fuses, circuit breakers, multimeter, GFCI, ampere",https://www.youtube.com/watch?v=kcL2_D33k3o,18:45
22,Electrical Engineering Basics,DC parallel circuits explained  - The basics how parallel circuits work working principle,https://www.youtube.com/watch?v=5uyJezQNSHw,16:00
23,Electrical Engineering Basics,How Batteries Work - Battery electricity working principle,https://www.youtube.com/watch?v=PXNKkcB0pI4,19:01
24,Electrical Engineering Basics,How does an Electric Motor work? DC Motor explained,https://www.youtube.com/watch?v=GQatiB-JHdI,15:32
25,Electrical Engineering Basics,How Relays Work - Basic working principle  electronics engineering  electrician amp,https://www.youtube.com/watch?v=n594CkrP6xE,14:02
26,Electrical Engineering Basics,How Electric Motors Work - 3 phase AC induction motors  ac motor,https://www.youtube.com/watch?v=59HBoIXzX_c,15:34
27,Electrical Engineering Basics,Transformers Explained - How transformers work,https://www.youtube.com/watch?v=jcY4QN7awEc,16:33
28,Electrical Engineering Basics,How Alternators Work - Automotive Electricity Generator,https://www.youtube.com/watch?v=jdSKlg80DjU,18:15
29,Electrical Engineering Basics,How A Car Battery Works - basic working principle,https://www.youtube.com/watch?v=VnPRX5zQWLw,16:01
30,Electrical Engineering Basics,Three Phase Electricity Basics and Calculations electrical engineering,https://www.youtube.com/watch?v=qthuFLNSrlg,14:37
31,Introduction to Practical Engineering,The Time a Pickup Pulled the Space Shuttle,https://www.youtube.com/watch?v=tVzgHvTuwdU,16:04
32,Introduction to Practical Engineering,What Is A Black Start Of The Power Grid?,https://www.youtube.com/watch?v=uOSnQM1Zu4w,17:06
33,Introduction to Practical Engineering,Why Rivers Move,https://www.youtube.com/watch?v=UBivwxBgdPQ,17:48
34,Introduction to Practical Engineering,Why Construction Projects Always Go Over Budget,https://www.youtube.com/watch?v=dOe_6vuaR_s,18:41
35,Introduction to Practical Engineering,How Much Is a Human Worth? (according to engineers),https://www.youtube.com/watch?v=xQbaVdge7kU,14:35
36,Introduction to Practical Engineering,Why Locomotives Don't Have Tires,https://www.youtube.com/watch?v=nGhBHrr5CYQ,16:18
37,Introduction to Practical Engineering,The Most Confusing Part of the Power Grid,https://www.youtube.com/watch?v=ZwkNTwWJP5k,22:07
38,Introduction to Practical Engineering,The Hidden Engineering of Landfills,https://www.youtube.com/watch?v=HRx_dZawN44,17:04
39,Animagraffs (full playlist),How City Water Purification Works: Drinking and Wastewater,https://www.youtube.com/watch?v=KsVfshmK0Ak,12:26
40,Animagraffs (full playlist),How a Formula 1 Race Car Works,https://www.youtube.com/watch?v=V7707zEX9X4,23:13
41,Animagraffs (full playlist),How a P-51 Mustang Works,https://www.youtube.com/watch?v=hjsrqMe0B3s,18:37
42,Animagraffs (full playlist),How a NASCAR Cup Series Race Car Works,https://www.youtube.com/watch?v=HEfaVUkEwps,19:33
43,Animagraffs (full playlist),How a Fire Engine Works,https://www.youtube.com/watch?v=pEdlz9AUlqA,11:48
44,Animagraffs (full playlist),How a Jet Airliner Works,https://www.youtube.com/watch?v=NZLbTuBDhJg,25:56
45,Animagraffs (full playlist),How an Airliner Cockpit Works,https://www.youtube.com/watch?v=TYJ8uoJ7DAk,29:22
46,Animagraffs (full playlist),How a Manual Transmission and Clutch Works,https://www.youtube.com/watch?v=o1ED4FQjDGk,10:23
47,Animagraffs (full playlist),How a Diesel-Electric Locomotive Works,https://www.youtube.com/watch?v=cIQ0yIZgQeE,25:13
48,Animagraffs (full playlist),How an 18th Century Sailing Warship Works (HMS Victory),https://www.youtube.com/watch?v=4Nr1AgIfajI,25:27
49,CSIR NET Life science unit 10 | csir net life science ecology | CSIR NET life science free lectures | life science preparation series,Population ecology part 1 population growth and growth rate,https://www.youtube.com/watch?v=dc7h-5sIqDU,21:30
50,CSIR NET Life science unit 10 | csir net life science ecology | CSIR NET life science free lectures | life science preparation series,Population ecology part 2 population growth rate,https://www.youtube.com/watch?v=jjgUWhnqv7s,19:29
51,CSIR NET Life science unit 10 | csir net life science ecology | CSIR NET life science free lectures | life science preparation series,Population ecology part 3 population growth (exponential growth and logistic growth),https://www.youtube.com/watch?v=ZMI-t3d8Cpo,19:12
52,CSIR NET Life science unit 10 | csir net life science ecology | CSIR NET life science free lectures | life science preparation series,Population ecology part 4 r and k selection,https://www.youtube.com/watch?v=JQ-dYEsycY4,18:01
53,CSIR NET Life science unit 10 | csir net life science ecology | CSIR NET life science free lectures | life science preparation series,Habitat fragmentation,https://www.youtube.com/watch?v=PiqICN9T2A8,15:52
54,CSIR NET Life science unit 10 | csir net life science ecology | CSIR NET life science free lectures | life science preparation series,Ecological succession,https://www.youtube.com/watch?v=K3i37iDiaec,31:44
55,CSIR NET Life science unit 10 | csir net life science ecology | CSIR NET life science free lectures | life science preparation series,Lotka Volterra model | competition model and predator prey model with equation,https://www.youtube.com/watch?v=3h-TfH1wrfI,30:13
56,CSIR NET life science unit 5 | csir net developmental Biology | CSIR NET life science free lectures | life science preparation series,Fertilization in sea urchin | Developmental biology lecture,https://www.youtube.com/watch?v=Je_6bg9AkUo,24:13
57,CSIR NET life science unit 5 | csir net developmental Biology | CSIR NET life science free lectures | life science preparation series,"Cleavage and furrowing of zygote, morula | Developmental biology lecture",https://www.youtube.com/watch?v=x5TYFwqEwD8,25:48
58,CSIR NET life science unit 5 | csir net developmental Biology | CSIR NET life science free lectures | life science preparation series,Blastulation,https://www.youtube.com/watch?v=MSh2L70ipJQ,17:36
59,CSIR NET life science unit 5 | csir net developmental Biology | CSIR NET life science free lectures | life science preparation series,Gastrulation,https://www.youtube.com/watch?v=NN2rtWiVh4g,18:31
60,CSIR NET life science unit 5 | csir net developmental Biology | CSIR NET life science free lectures | life science preparation series,Morphogenesis | Developmental biology lecture,https://www.youtube.com/watch?v=Vj6lYSOLT0A,18:16
61,CSIR NET life science unit 5 | csir net developmental Biology | CSIR NET life science free lectures | life science preparation series,Limb development in vertebrates,https://www.youtube.com/watch?v=bgRDL7hmRbQ,20:21
62,CSIR NET life science unit 5 | csir net developmental Biology | CSIR NET life science free lectures | life science preparation series,Sea urchin development,https://www.youtube.com/watch?v=nWccb-pcK1o,43:59
63,CSIR NET life science unit 5 | csir net developmental Biology | CSIR NET life science free lectures | life science preparation series,Drosophila development,https://www.youtube.com/watch?v=1nWk6oPkJ1o,66:01
64,CSIR NET life science unit 5 | csir net developmental Biology | CSIR NET life science free lectures | life science preparation series,C elegans development,https://www.youtube.com/watch?v=R0BH4L87kAA,36:14
65,CSIR NET life science unit 5 | csir net developmental Biology | CSIR NET life science free lectures | life science preparation series,Sexual reproduction in flowering plants class 12 | male reproductive structures | for NEET exam,https://www.youtube.com/watch?v=xfRvwpEeKL8,22:15
66,Abstract Algebra | Integral Domains,Abstract Algebra | The field of fractions of an integral domain.,https://www.youtube.com/watch?v=KoPSC93Ts8I,29:44
67,Abstract Algebra | Integral Domains,Abstract Algebra | Irreducibles and Primes in Integral Domains,https://www.youtube.com/watch?v=KGZF_l02Xx4,18:27
68,Abstract Algebra | Integral Domains,Abstract Algebra | Introduction to Principal Ideal Domains (PIDs),https://www.youtube.com/watch?v=7cG8bbsT7tE,18:27
69,Abstract Algebra | Integral Domains,Abstract Algebra | Every PID is a UFD.,https://www.youtube.com/watch?v=XZZKrqZHyqM,25:31
70,Abstract Algebra | Integral Domains,Abstract Algebra | Introduction to Euclidean Domains,https://www.youtube.com/watch?v=ILS-v54ovr8,17:11
71,Abstract Algebra | Integral Domains,Abstract Algebra | If D is a UFD then D[x] is a UFD.,https://www.youtube.com/watch?v=YyDXxe-Itfo,25:43
72,Abstract Algebra | Integral Domains,Abstract Algebra | A PID that is not a Euclidean Domain,https://www.youtube.com/watch?v=SgVYgXitO-E,36:49
73,Abstract Algebra | Integral Domains,Abstract Algebra | A PID that is not a Euclidean Domain,https://www.youtube.com/watch?v=SgVYgXitO-E,36:49
74,Abstract Algebra | Integral Domains,Abstract Algebra | Ideals of quotients of PIDs,https://www.youtube.com/watch?v=7alev-bEkjc,23:33
75,Past Papers 2022: Physical Sciences,Past Papers 2022: Physical Sciences: Paper 1: Question 1,https://www.youtube.com/watch?v=m_w9D3FzQi0,18:51
76,Past Papers 2022: Physical Sciences,Past Papers 2022: Physical Sciences: Paper 1: Question 2,https://www.youtube.com/watch?v=ygmaarciYSg,15:02
77,Past Papers 2022: Physical Sciences,Past Papers 2022: Physical Sciences: Paper 1: Question 3,https://www.youtube.com/watch?v=R1e2-_PBncM,21:17
78,Past Papers 2022: Physical Sciences,Past Papers 2022: Physical Sciences: Paper 1: Question 4,https://www.youtube.com/watch?v=RlXXdm5v57c,21:16
79,Past Papers 2022: Physical Sciences,Past Papers 2022: Physical Sciences: Paper 1: Question 5,https://www.youtube.com/watch?v=ljSG8YSyXj8,20:33
80,Past Papers 2022: Physical Sciences,Past Papers 2022: Physical Sciences: Paper 1: Question 7,https://www.youtube.com/watch?v=nFKRCJ2pNeQ,22:14
81,Past Papers 2022: Physical Sciences,Past Papers 2022: Physical Sciences: Paper 1: Question 8,https://www.youtube.com/watch?v=jCFxYm_jkkM,21:34
82,Past Papers 2022: Physical Sciences,Past Papers 2022: Physical Sciences: Paper 1: Question 10,https://www.youtube.com/watch?v=ktK6ctrNrQ0,15:36
83,Past Papers 2022: Physical Sciences,Past Papers 2022: Physical Sciences: Paper 2: Question 2,https://www.youtube.com/watch?v=S6vy_akOim4,18:55
84,Past Papers 2022: Physical Sciences,Past Papers 2022: Physical Sciences: Paper 2: Question 3,https://www.youtube.com/watch?v=QvRKSDrOkKw,16:33
85,"Physical Science 12 - Mechanics - Work, Energy and Power","Back2Basics: Work, Energy and Power",https://www.youtube.com/watch?v=7QXlY5GY-0w,12:55
86,"Physical Science 12 - Mechanics - Work, Energy and Power","Work, Energy and Power: Lesson: Work",https://www.youtube.com/watch?v=WqdWeHiJo5o,18:13
87,"Physical Science 12 - Mechanics - Work, Energy and Power","Work, Energy and Power: Lesson: Conservation of Energy",https://www.youtube.com/watch?v=cbRe2Z5Kdy0,15:03
88,"Physical Science 12 - Mechanics - Work, Energy and Power","Work, Energy and Power: Lesson: Problem Solving",https://www.youtube.com/watch?v=XnEQSvkxz7U,11:01
89,"Physical Science 12 - Mechanics - Work, Energy and Power","Work, Energy and Power: Lesson: The Work-Energy Theorem",https://www.youtube.com/watch?v=yDRF_fZcscU,17:04
90,TLMaths The A-Level Maths Textbook,GCSE Maths: A14h-11 Exponential Relationship: Exponential Growth,https://www.youtube.com/watch?v=qg4AN4tP6rU,5:09
91,TLMaths The A-Level Maths Textbook,GCSE Maths: A14h-10 Piecewise Graph,https://www.youtube.com/watch?v=pV81vTj-VJo,5:45
92,TLMaths The A-Level Maths Textbook,GCSE Maths: A14-08 [Quadratic Relationship: Projectile],https://www.youtube.com/watch?v=yjfiIIo9TQE,5:40
93,TLMaths The A-Level Maths Textbook,GCSE Maths: A14-07 [Containers and Graphs],https://www.youtube.com/watch?v=pSiw2c8f_70,9:09
94,TLMaths The A-Level Maths Textbook,GCSE Maths: A14-06 [Conversion Graph: °C to °F and Vice Versa],https://www.youtube.com/watch?v=pqwCNuWjnwU,6:35
