Index,Playlist Title,Video Title,Video URL,Duration
185,BOLTRs,BOLTR: Diaphragm Pump | So tough it'll pump ball bearings,https://www.youtube.com/watch?v=0cpCEg19euc,15:36
186,BOLTRs,BOLTR: Design Fails Corrected! | Ridgid Palm Impact,https://www.youtube.com/watch?v=xb0GtjB4N3Y,16:24
187,BOLTRs,BOLTR: Worx Jaw Saw | Engineering Fail,https://www.youtube.com/watch?v=bT6-qk2LryM,26:00
188,BOLTRs,BOLTR: Milwaukee Chainsaw | Destroys DeWalt,https://www.youtube.com/watch?v=o55Dw0-VEeY,31:54
189,BOLTRs,BOLTR: Milwaukee Hole Hawg | Long Term Quality,https://www.youtube.com/watch?v=qoR59rzqlxw,30:30
190,BOLTRs,BOLTR: DeWALT Chainsaw | Engineering FAIL,https://www.youtube.com/watch?v=-yIqluXVleo,25:19
191,BOLTRs,BOLTR: Bosch Drum Sander | Undercarriage Abrasion,https://www.youtube.com/watch?v=eAm7Qbv9HhQ,23:45
192,BOLTRs,BOLTR: Milwaukee Pump | Box Specs vs. Shop Specs,https://www.youtube.com/watch?v=-wPumh3ydos,34:35
193,Math videos in order,Algebra and Mathematics.  Explained with easy to understand 3D animations.,https://www.youtube.com/watch?v=MJYsXGbxueY,39:59
194,Math videos in order,Calculus -- The foundation of modern science,https://www.youtube.com/watch?v=rjLJIVoQxz4,19:04
195,Math videos in order,Trigonometry - Easy to understand 3D animation,https://www.youtube.com/watch?v=ovLbCvq7FNA,16:29
196,Math videos in order,"Imaginary Numbers, Functions of Complex Variables: 3D animations.",https://www.youtube.com/watch?v=bIY6ahHVgqA,14:34
197,Math videos in order,"Fourier Transform, Fourier Series, and frequency spectrum",https://www.youtube.com/watch?v=r18Gi8lSkfM,15:46
198,Math videos in order,Divergence and Curl,https://www.youtube.com/watch?v=qOcFJKQPZfo,25:33
199,Math videos in order,Probability - Quantum and Classical,https://www.youtube.com/watch?v=X2eomv6XfWo,22:48
